,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.41,0.279,10,-13.248,1,0.0315,0.75,0.244,0.112,0.245,115.302,audio_features,3w4hSYOCUcsfk86JcjkO1a,spotify:track:3w4hSYOCUcsfk86JcjkO1a,https://api.spotify.com/v1/tracks/3w4hSYOCUcsfk86JcjkO1a,https://api.spotify.com/v1/audio-analysis/3w4hSYOCUcsfk86JcjkO1a,227667,3
1,0.724,0.458,5,-13.658,0,0.053,0.558,0.000912,0.116,0.64,131.963,audio_features,7dElKXggb1TtQ2RyzVOYJH,spotify:track:7dElKXggb1TtQ2RyzVOYJH,https://api.spotify.com/v1/tracks/7dElKXggb1TtQ2RyzVOYJH,https://api.spotify.com/v1/audio-analysis/7dElKXggb1TtQ2RyzVOYJH,198520,4
2,0.301,0.226,11,-10.211,0,0.0339,0.948,0.00653,0.0589,0.103,118.336,audio_features,5udBOLdQ7AySsIQ8Erv3XS,spotify:track:5udBOLdQ7AySsIQ8Erv3XS,https://api.spotify.com/v1/tracks/5udBOLdQ7AySsIQ8Erv3XS,https://api.spotify.com/v1/audio-analysis/5udBOLdQ7AySsIQ8Erv3XS,242893,4
3,0.46,0.336,2,-11.088,1,0.0321,0.623,2.93e-06,0.0738,0.501,125.664,audio_features,7vhfdOcKeIIXl82diSh3vZ,spotify:track:7vhfdOcKeIIXl82diSh3vZ,https://api.spotify.com/v1/tracks/7vhfdOcKeIIXl82diSh3vZ,https://api.spotify.com/v1/audio-analysis/7vhfdOcKeIIXl82diSh3vZ,160707,4
4,0.354,0.415,9,-6.578,1,0.0289,0.797,0.0,0.107,0.421,175.537,audio_features,18ZK9RiSZdZVTkzVFw0yin,spotify:track:18ZK9RiSZdZVTkzVFw0yin,https://api.spotify.com/v1/tracks/18ZK9RiSZdZVTkzVFw0yin,https://api.spotify.com/v1/audio-analysis/18ZK9RiSZdZVTkzVFw0yin,192545,4
5,0.715,0.207,10,-14.154,1,0.0336,0.912,0.0,0.13,0.247,109.043,audio_features,2VV2bUDMP4sWx1500SBaq4,spotify:track:2VV2bUDMP4sWx1500SBaq4,https://api.spotify.com/v1/tracks/2VV2bUDMP4sWx1500SBaq4,https://api.spotify.com/v1/audio-analysis/2VV2bUDMP4sWx1500SBaq4,213539,4
6,0.368,0.197,8,-10.784,1,0.0382,0.874,0.0,0.0949,0.0647,96.338,audio_features,5sMoexY5YpR0frj2ZAketD,spotify:track:5sMoexY5YpR0frj2ZAketD,https://api.spotify.com/v1/tracks/5sMoexY5YpR0frj2ZAketD,https://api.spotify.com/v1/audio-analysis/5sMoexY5YpR0frj2ZAketD,287639,4
7,0.706,0.324,6,-14.048,0,0.0305,0.167,0.104,0.116,0.114,119.992,audio_features,34hMOtKwf5nm8tjvkGV0Dk,spotify:track:34hMOtKwf5nm8tjvkGV0Dk,https://api.spotify.com/v1/tracks/34hMOtKwf5nm8tjvkGV0Dk,https://api.spotify.com/v1/audio-analysis/34hMOtKwf5nm8tjvkGV0Dk,309591,4
8,0.321,0.366,2,-8.163,1,0.0389,0.883,0.000126,0.0813,0.309,94.678,audio_features,0kBIf10ovrGvEPQ5sP0nB3,spotify:track:0kBIf10ovrGvEPQ5sP0nB3,https://api.spotify.com/v1/tracks/0kBIf10ovrGvEPQ5sP0nB3,https://api.spotify.com/v1/audio-analysis/0kBIf10ovrGvEPQ5sP0nB3,316280,4
9,0.651,0.261,1,-10.019,1,0.0266,0.57,0.0,0.301,0.287,104.116,audio_features,41lqGsXFhFnno7r9MkaXtK,spotify:track:41lqGsXFhFnno7r9MkaXtK,https://api.spotify.com/v1/tracks/41lqGsXFhFnno7r9MkaXtK,https://api.spotify.com/v1/audio-analysis/41lqGsXFhFnno7r9MkaXtK,206523,4
