,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,audio_features,2x0RZdkZcD8QRI53XT4GI5,spotify:track:2x0RZdkZcD8QRI53XT4GI5,https://api.spotify.com/v1/tracks/2x0RZdkZcD8QRI53XT4GI5,https://api.spotify.com/v1/audio-analysis/2x0RZdkZcD8QRI53XT4GI5,157202,4
1,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
2,0.592,0.24,11,-16.179,1,0.033,0.702,0.381,0.121,0.333,96.559,audio_features,2X5GqfR1ACKSe8RigJ8Z9s,spotify:track:2X5GqfR1ACKSe8RigJ8Z9s,https://api.spotify.com/v1/tracks/2X5GqfR1ACKSe8RigJ8Z9s,https://api.spotify.com/v1/audio-analysis/2X5GqfR1ACKSe8RigJ8Z9s,215707,4
3,0.46,0.162,5,-17.142,0,0.0335,0.376,1.25e-05,0.181,0.102,122.767,audio_features,1GbyYL0B0Mjn3kSbrEwKKI,spotify:track:1GbyYL0B0Mjn3kSbrEwKKI,https://api.spotify.com/v1/tracks/1GbyYL0B0Mjn3kSbrEwKKI,https://api.spotify.com/v1/audio-analysis/1GbyYL0B0Mjn3kSbrEwKKI,332507,4
4,0.384,0.436,5,-7.432,0,0.0282,0.754,5.36e-06,0.131,0.153,107.312,audio_features,28mwuJqKOjRpqo14GuKSkj,spotify:track:28mwuJqKOjRpqo14GuKSkj,https://api.spotify.com/v1/tracks/28mwuJqKOjRpqo14GuKSkj,https://api.spotify.com/v1/audio-analysis/28mwuJqKOjRpqo14GuKSkj,261107,1
5,0.453,0.986,7,-5.768,1,0.122,0.387,0.0,0.422,0.439,166.596,audio_features,4tJ4XL5tLOmt9poOBG0jxQ,spotify:track:4tJ4XL5tLOmt9poOBG0jxQ,https://api.spotify.com/v1/tracks/4tJ4XL5tLOmt9poOBG0jxQ,https://api.spotify.com/v1/audio-analysis/4tJ4XL5tLOmt9poOBG0jxQ,198147,4
6,0.536,0.606,7,-5.364,1,0.0355,0.103,1.08e-05,0.255,0.719,146.425,audio_features,3q2gRjU2UdOYRDY1p4cNHr,spotify:track:3q2gRjU2UdOYRDY1p4cNHr,https://api.spotify.com/v1/tracks/3q2gRjU2UdOYRDY1p4cNHr,https://api.spotify.com/v1/audio-analysis/3q2gRjU2UdOYRDY1p4cNHr,206267,4
7,0.554,0.48,9,-10.925,1,0.0317,0.299,1.09e-05,0.165,0.626,91.311,audio_features,7LZoKNMhsZ7qbP1lYGDva8,spotify:track:7LZoKNMhsZ7qbP1lYGDva8,https://api.spotify.com/v1/tracks/7LZoKNMhsZ7qbP1lYGDva8,https://api.spotify.com/v1/audio-analysis/7LZoKNMhsZ7qbP1lYGDva8,158747,4
8,0.459,0.689,7,-5.004,1,0.0295,0.323,1.12e-05,0.234,0.242,133.925,audio_features,54ThPAIMtncxxVX2gC4baF,spotify:track:54ThPAIMtncxxVX2gC4baF,https://api.spotify.com/v1/tracks/54ThPAIMtncxxVX2gC4baF,https://api.spotify.com/v1/audio-analysis/54ThPAIMtncxxVX2gC4baF,240547,4
9,0.639,0.742,1,-6.909,1,0.0282,0.0135,0.0,0.123,0.553,127.015,audio_features,4drk4h8G9Sl87G9YHwQ4eu,spotify:track:4drk4h8G9Sl87G9YHwQ4eu,https://api.spotify.com/v1/tracks/4drk4h8G9Sl87G9YHwQ4eu,https://api.spotify.com/v1/audio-analysis/4drk4h8G9Sl87G9YHwQ4eu,215387,4
10,0.459,0.776,0,-5.385,1,0.0359,0.287,0.0,0.159,0.749,122.004,audio_features,55mXuPsEm6aboDIM68RM74,spotify:track:55mXuPsEm6aboDIM68RM74,https://api.spotify.com/v1/tracks/55mXuPsEm6aboDIM68RM74,https://api.spotify.com/v1/audio-analysis/55mXuPsEm6aboDIM68RM74,265400,4
11,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,audio_features,2XWjPtKdi5sucFYtVav07d,spotify:track:2XWjPtKdi5sucFYtVav07d,https://api.spotify.com/v1/tracks/2XWjPtKdi5sucFYtVav07d,https://api.spotify.com/v1/audio-analysis/2XWjPtKdi5sucFYtVav07d,181900,4
12,0.703,0.706,8,-10.637,1,0.0302,0.233,0.00109,0.585,0.766,131.067,audio_features,3J0AoQhAufniMrznCRJASD,spotify:track:3J0AoQhAufniMrznCRJASD,https://api.spotify.com/v1/tracks/3J0AoQhAufniMrznCRJASD,https://api.spotify.com/v1/audio-analysis/3J0AoQhAufniMrznCRJASD,251507,4
